# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
4840 1.03995 -1.31484 0.759909
4850 1.041 -1.31012 0.807393
4860 1.01955 -1.26993 0.954402
4870 0.996399 -1.28993 0.848847
4880 1.01144 -1.31831 0.722794
4890 1.04405 -1.28937 0.818172
4900 1.04507 -1.3001 0.776646
4910 1.0047 -1.30206 0.746426
4920 0.988316 -1.3149 0.696572
4930 1.0176 -1.30975 0.744256
4940 0.980206 -1.28225 0.824793
4950 1.00611 -1.29001 0.804999
4960 0.980993 -1.29939 0.756928
4970 0.973708 -1.27609 0.835071
4980 0.990775 -1.31822 0.711754
4990 0.975034 -1.32697 0.675412
5000 1.01945 -1.32277 0.734133
5010 0.998433 -1.30753 0.80491
5020 1.01479 -1.31976 0.790612
5030 0.984741 -1.32043 0.800313
5040 0.963355 -1.28882 0.905233
5050 1.01798 -1.31837 0.811593
5060 1.02319 -1.33118 0.764975
5070 1.02431 -1.30688 0.848448
5080 1.05998 -1.32399 0.78775
5090 1.04125 -1.31167 0.81877
5100 1.02412 -1.30793 0.841666
5110 1.0516 -1.34655 0.731031
5120 1.03213 -1.34525 0.72756
5130 1.01227 -1.33879 0.736181
5140 0.987957 -1.33633 0.744151
5150 0.989693 -1.32732 0.78301
5160 0.995317 -1.30609 0.849396
5170 1.01107 -1.3351 0.739729
5180 1.02567 -1.3516 0.67571
5190 0.991612 -1.32321 0.769813
5200 1.02609 -1.31759 0.80083
5210 0.996535 -1.31843 0.781506
5220 0.991338 -1.34519 0.682117
5230 1.01717 -1.34047 0.70858
5240 0.978505 -1.32509 0.741721
5250 0.998926 -1.3365 0.709242
5260 0.998154 -1.33612 0.718499
5270 0.988402 -1.34119 0.696368
5280 0.983235 -1.32509 0.753141
5290 0.986384 -1.34636 0.701487
5300 0.957398 -1.35145 0.671208
5310 0.999754 -1.33313 0.755778
5320 0.97609 -1.31959 0.794606
5330 1.04408 -1.33957 0.752429
5340 0.98873 -1.33356 0.759333
5350 0.986852 -1.33318 0.748839
5360 0.979876 -1.337 0.748537
5370 0.979041 -1.31736 0.824494
5380 1.03467 -1.32988 0.809554
5390 1.01343 -1.32334 0.81857
5400 0.98958 -1.3341 0.783768
5410 0.999654 -1.32007 0.850495
5420 1.00495 -1.32571 0.834572
5430 0.958827 -1.33805 0.778241
5440 1.00253 -1.31574 0.882162
5450 0.995878 -1.3036 0.90359
5460 0.988431 -1.31893 0.82718
5470 1.00347 -1.31727 0.822409
5480 1.01169 -1.29626 0.89258
5490 1.0149 -1.3333 0.762437
5500 0.953988 -1.34294 0.709254
5510 0.974662 -1.33783 0.755789
5520 0.984082 -1.32746 0.808934
5530 0.985901 -1.31415 0.867739
5540 1.01173 -1.3332 0.821804
5550 0.997503 -1.33805 0.815403
5560 1.004 -1.34026 0.808067
5570 0.973752 -1.32857 0.819813
5580 1.00348 -1.31997 0.858452
5590 0.990481 -1.33048 0.78746
5600 0.994364 -1.34589 0.702007
5610 1.02753 -1.33037 0.767604
5620 1.0032 -1.31513 0.816795
5630 0.965864 -1.30688 0.847207
5640 0.984451 -1.3281 0.776271
5650 0.99631 -1.32593 0.779575
5660 0.996526 -1.31717 0.805223
5670 1.02215 -1.28482 0.923763
5680 0.981267 -1.31651 0.817649
5690 0.965637 -1.30906 0.816594
5700 0.989473 -1.32369 0.773236
5710 1.0221 -1.32356 0.80333
5720 1.00803 -1.32148 0.810813
5730 1.02228 -1.33874 0.773245
5740 0.985793 -1.31245 0.875467
5750 1.01198 -1.30801 0.90189
5760 1.00619 -1.32932 0.805979
5770 0.982171 -1.3184 0.827832
5780 0.992341 -1.32076 0.809476
5790 0.968194 -1.3462 0.691818
5800 1.01173 -1.33972 0.726332
5810 1.03742 -1.34444 0.73008
5820 1.00858 -1.33948 0.767303
5830 0.948511 -1.33145 0.799752
5840 1.00243 -1.32693 0.841328
5850 1.00314 -1.33026 0.817112
5860 0.94774 -1.29499 0.903743
5870 0.963467 -1.32767 0.785653
5880 0.991652 -1.33688 0.740655
5890 1.01841 -1.34242 0.720776
5900 1.00971 -1.31708 0.806785
5910 0.9972 -1.30321 0.846107
5920 1.01379 -1.30296 0.8458
5930 1.02467 -1.32972 0.760932
5940 1.03325 -1.30465 0.850794
5950 1.02999 -1.30321 0.858879
5960 1.04984 -1.32542 0.786126
5970 1.03564 -1.31788 0.803301
5980 1.00538 -1.29934 0.872089
5990 1.00313 -1.30503 0.866596
6000 0.990973 -1.29156 0.900359
6010 0.998978 -1.29401 0.895149
6020 1.02366 -1.28672 0.923773
6030 1.03285 -1.30244 0.853173
6040 1.0509 -1.27623 0.917488
6050 1.01835 -1.29816 0.823357
6060 1.04183 -1.29866 0.838006
6070 1.04064 -1.30692 0.84115
6080 1.03172 -1.29539 0.891265
6090 1.02045 -1.32226 0.798235
6100 1.02197 -1.33299 0.732928
6110 0.988309 -1.3107 0.792157
6120 0.976073 -1.30326 0.818225
6130 0.981366 -1.31737 0.766041
6140 0.987061 -1.31727 0.771527
6150 0.98812 -1.32324 0.750743
6160 0.979038 -1.33231 0.706034
6170 0.981675 -1.32829 0.710504
6180 0.986397 -1.32452 0.728588
6190 1.01034 -1.34048 0.693484
6200 1.00679 -1.33033 0.747057
6210 0.955683 -1.31534 0.807706
6220 1.02224 -1.33602 0.788248
6230 0.982309 -1.32847 0.798868
6240 0.995955 -1.3404 0.756282
6250 0.99996 -1.32266 0.808569
6260 0.975061 -1.34987 0.695301
6270 0.987065 -1.32448 0.766996
6280 0.981382 -1.33568 0.709664
6290 0.958267 -1.32935 0.713121
6300 1.00692 -1.34607 0.680886
6310 0.989776 -1.34336 0.691416
